smiles_open,donor_class,acceptor_class,backbone,est_lambda_nm
CCN(CC)/C(C)=C/C=C/C(O)=C1C(=O)Nc2ccccc21,aniline,oxindole,alpha_methyl_triene,640
CCN(/C=C/C(C)=C/C(O)=C1C(=O)OC(C)(C)OC1=O)CC,dialkyl_amine,meldrum,central_methyl_triene,545
CCN(/C=C/C(C)=C/C(O)=C1C(=O)N(C)C(=O)N(C)C1=O)CC,dialkyl_amine,barbituric,central_methyl_triene,570
CCN(/C=C/C(C)=C/C(O)=C1C(=O)NC(=O)NC1=O)CC,dialkyl_amine,barbituric,central_methyl_triene,570
CCN(/C=C/C(C)=C/C(O)=C1C(=O)N(CC)C(=O)N(CC)C1=O)CC,dialkyl_amine,barbituric,central_methyl_triene,570
CCN(/C=C/C(C)=C/C(O)=C1C(=O)NC(=S)NC1=O)CC,dialkyl_amine,thiobarbituric,central_methyl_triene,600
CCN(/C=C/C(C)=C/C(O)=C1C(=O)N(C)C(=S)N(C)C1=O)CC,dialkyl_amine,thiobarbituric,central_methyl_triene,600
CCN(/C=C/C(C)=C/C(O)=C1C(=O)c2ccccc2C1=O)CC,dialkyl_amine,indandione,central_methyl_triene,600
CCN(/C=C/C(C)=C/C(O)=C1C(=O)N(c2ccccc2)N=C1C)CC,aniline,pyrazolone,central_methyl_triene,630
CCN(/C=C/C(C)=C/C(O)=C1C(=O)N(c2ccccc2)N=C1C(F)(F)F)CC,aniline,pyrazolone,central_methyl_triene,709
CCN(/C=C/C(C)=C/C(O)=C1C(=O)ON=C1C)CC,dialkyl_amine,isoxazolone,central_methyl_triene,626
CCN(/C=C/C(C)=C/C(O)=C1C(=O)ON=C1C(F)(F)F)CC,dialkyl_amine,isoxazolone,central_methyl_triene,649
CCN(/C=C/C(C)=C/C(O)=C1C(=O)NNC1=O)CC,dialkyl_amine,pyrazolidinedione,central_methyl_triene,610
CCN(/C=C/C(C)=C/C(O)=C1C(=O)Nc2ccccc21)CC,aniline,oxindole,central_methyl_triene,640
CCCN(/C=C/C=C/C(O)=C1C(=O)OC(C)(C)OC1=O)CCC,dialkyl_amine,meldrum,triene,545
CCCN(/C=C/C=C/C(O)=C1C(=O)N(C)C(=O)N(C)C1=O)CCC,dialkyl_amine,barbituric,triene,570
CCCN(/C=C/C=C/C(O)=C1C(=O)NC(=O)NC1=O)CCC,dialkyl_amine,barbituric,triene,570
CCCN(/C=C/C=C/C(O)=C1C(=O)N(CC)C(=O)N(CC)C1=O)CCC,dialkyl_amine,barbituric,triene,570
CCCN(/C=C/C=C/C(O)=C1C(=O)NC(=S)NC1=O)CCC,dialkyl_amine,thiobarbituric,triene,600
CCCN(/C=C/C=C/C(O)=C1C(=O)N(C)C(=S)N(C)C1=O)CCC,dialkyl_amine,thiobarbituric,triene,600
CCCN(/C=C/C=C/C(O)=C1C(=O)c2ccccc2C1=O)CCC,dialkyl_amine,indandione,triene,600
CCCN(/C=C/C=C/C(O)=C1C(=O)N(c2ccccc2)N=C1C)CCC,aniline,pyrazolone,triene,630
CCCN(/C=C/C=C/C(O)=C1C(=O)N(c2ccccc2)N=C1C(F)(F)F)CCC,aniline,pyrazolone,triene,709
CCCN(/C=C/C=C/C(O)=C1C(=O)ON=C1C)CCC,dialkyl_amine,isoxazolone,triene,626
CCCN(/C=C/C=C/C(O)=C1C(=O)ON=C1C(F)(F)F)CCC,dialkyl_amine,isoxazolone,triene,649
CCCN(/C=C/C=C/C(O)=C1C(=O)NNC1=O)CCC,dialkyl_amine,pyrazolidinedione,triene,610
CCCN(/C=C/C=C/C(O)=C1C(=O)Nc2ccccc21)CCC,aniline,oxindole,triene,640
CCCN(CCC)/C(C)=C/C=C/C(O)=C1C(=O)OC(C)(C)OC1=O,dialkyl_amine,meldrum,alpha_methyl_triene,545
CCCN(CCC)/C(C)=C/C=C/C(O)=C1C(=O)N(C)C(=O)N(C)C1=O,dialkyl_amine,barbituric,alpha_methyl_triene,570
CCCN(CCC)/C(C)=C/C=C/C(O)=C1C(=O)NC(=O)NC1=O,dialkyl_amine,barbituric,alpha_methyl_triene,570
CCCN(CCC)/C(C)=C/C=C/C(O)=C1C(=O)N(CC)C(=O)N(CC)C1=O,dialkyl_amine,barbituric,alpha_methyl_triene,570
CCCN(CCC)/C(C)=C/C=C/C(O)=C1C(=O)NC(=S)NC1=O,dialkyl_amine,thiobarbituric,alpha_methyl_triene,600
CCCN(CCC)/C(C)=C/C=C/C(O)=C1C(=O)N(C)C(=S)N(C)C1=O,dialkyl_amine,thiobarbituric,alpha_methyl_triene,600
CCCN(CCC)/C(C)=C/C=C/C(O)=C1C(=O)c2ccccc2C1=O,dialkyl_amine,indandione,alpha_methyl_triene,600
CCCN(CCC)/C(C)=C/C=C/C(O)=C1C(=O)N(c2ccccc2)N=C1C,aniline,pyrazolone,alpha_methyl_triene,630
CCCN(CCC)/C(C)=C/C=C/C(O)=C1C(=O)N(c2ccccc2)N=C1C(F)(F)F,aniline,pyrazolone,alpha_methyl_triene,709
CCCN(CCC)/C(C)=C/C=C/C(O)=C1C(=O)ON=C1C,dialkyl_amine,isoxazolone,alpha_methyl_triene,626
CCCN(CCC)/C(C)=C/C=C/C(O)=C1C(=O)ON=C1C(F)(F)F,dialkyl_amine,isoxazolone,alpha_methyl_triene,649
CCCN(CCC)/C(C)=C/C=C/C(O)=C1C(=O)NNC1=O,dialkyl_amine,pyrazolidinedione,alpha_methyl_triene,610
CCCN(CCC)/C(C)=C/C=C/C(O)=C1C(=O)Nc2ccccc21,aniline,oxindole,alpha_methyl_triene,640
CCCN(/C=C/C(C)=C/C(O)=C1C(=O)OC(C)(C)OC1=O)CCC,dialkyl_amine,meldrum,central_methyl_triene,545
CCCN(/C=C/C(C)=C/C(O)=C1C(=O)N(C)C(=O)N(C)C1=O)CCC,dialkyl_amine,barbituric,central_methyl_triene,570
CCCN(/C=C/C(C)=C/C(O)=C1C(=O)NC(=O)NC1=O)CCC,dialkyl_amine,barbituric,central_methyl_triene,570
CCCN(/C=C/C(C)=C/C(O)=C1C(=O)N(CC)C(=O)N(CC)C1=O)CCC,dialkyl_amine,barbituric,central_methyl_triene,570
CCCN(/C=C/C(C)=C/C(O)=C1C(=O)NC(=S)NC1=O)CCC,dialkyl_amine,thiobarbituric,central_methyl_triene,600
CCCN(/C=C/C(C)=C/C(O)=C1C(=O)N(C)C(=S)N(C)C1=O)CCC,dialkyl_amine,thiobarbituric,central_methyl_triene,600
CCCN(/C=C/C(C)=C/C(O)=C1C(=O)c2ccccc2C1=O)CCC,dialkyl_amine,indandione,central_methyl_triene,600
CCCN(/C=C/C(C)=C/C(O)=C1C(=O)N(c2ccccc2)N=C1C)CCC,aniline,pyrazolone,central_methyl_triene,630
CCCN(/C=C/C(C)=C/C(O)=C1C(=O)N(c2ccccc2)N=C1C(F)(F)F)CCC,aniline,pyrazolone,central_methyl_triene,709
CCCN(/C=C/C(C)=C/C(O)=C1C(=O)ON=C1C)CCC,dialkyl_amine,isoxazolone,central_methyl_triene,626
CCCN(/C=C/C(C)=C/C(O)=C1C(=O)ON=C1C(F)(F)F)CCC,dialkyl_amine,isoxazolone,central_methyl_triene,649
CCCN(/C=C/C(C)=C/C(O)=C1C(=O)NNC1=O)CCC,dialkyl_amine,pyrazolidinedione,central_methyl_triene,610
CCCN(/C=C/C(C)=C/C(O)=C1C(=O)Nc2ccccc21)CCC,aniline,oxindole,central_methyl_triene,640
CCCCN(/C=C/C=C/C(O)=C1C(=O)OC(C)(C)OC1=O)CCCC,dialkyl_amine,meldrum,triene,545
CCCCN(/C=C/C=C/C(O)=C1C(=O)N(C)C(=O)N(C)C1=O)CCCC,dialkyl_amine,barbituric,triene,570
CCCCN(/C=C/C=C/C(O)=C1C(=O)NC(=O)NC1=O)CCCC,dialkyl_amine,barbituric,triene,570
CCCCN(/C=C/C=C/C(O)=C1C(=O)N(CC)C(=O)N(CC)C1=O)CCCC,dialkyl_amine,barbituric,triene,570
CCCCN(/C=C/C=C/C(O)=C1C(=O)NC(=S)NC1=O)CCCC,dialkyl_amine,thiobarbituric,triene,600
CCCCN(/C=C/C=C/C(O)=C1C(=O)N(C)C(=S)N(C)C1=O)CCCC,dialkyl_amine,thiobarbituric,triene,600
CCCCN(/C=C/C=C/C(O)=C1C(=O)c2ccccc2C1=O)CCCC,dialkyl_amine,indandione,triene,600
CCCCN(/C=C/C=C/C(O)=C1C(=O)N(c2ccccc2)N=C1C)CCCC,aniline,pyrazolone,triene,630
CCCCN(/C=C/C=C/C(O)=C1C(=O)N(c2ccccc2)N=C1C(F)(F)F)CCCC,aniline,pyrazolone,triene,709
CCCCN(/C=C/C=C/C(O)=C1C(=O)ON=C1C)CCCC,dialkyl_amine,isoxazolone,triene,626
CCCCN(/C=C/C=C/C(O)=C1C(=O)ON=C1C(F)(F)F)CCCC,dialkyl_amine,isoxazolone,triene,649
